Almost Famous Wine Company,CA,Sauvignon Blanc/Fume - $17.00 - $21.99,2023,San Francisco Bay,Pistachio Lane,Sauvignon Blanc,$21.00,Double Gold
Almost Famous Wine Company,CA,Cab Sauv - $20.00 - $23.99,2019,Livermore Valley,Dog Day,Cabernet Sauvignon,$21.00,Gold
Almost Famous Wine Company,CA,Cab Sauv - $28.00 - $30.99,2021,San Francisco Bay,Bings Barn,Cabernet Sauvignon,$28.00,Gold
Almost Famous Wine Company,CA,Sauvignon Blanc/Fume - $22.00 - $ 27.99,2023,Livermore Valley,Darcie Lemmons Vineyard,Sauvignon Blanc,$24.00,Gold
Almost Famous Wine Company,CA,Cab Sauv - $31.00 - $35.99,2021,San Francisco Bay,Loyal To The Soil,Cabernet Sauvignon,$32.00,Silver
Almost Famous Wine Company,CA,Chardonnay - $18.00 - $22.99,2022,San Francisco Bay,Pistachio Lane,Chardonnay,$21.00,Silver
Almost Famous Wine Company,CA,Petite Sirah - Up to - $32.99,2021,San Francisco Bay,Firepit,Petite Sirah,$24.00,Silver
Alta Colina,CA,Red Blend: Grenache leading blend,2021,Adelaida District,,GSM,$68.00,Silver
Alta Colina,CA,Red Blend: Mourvedre leading blend,2021,Adelaida District,,Sun Worshipper,$68.00,Silver
Alta Colina,CA,Syrah/Shiraz - $45.00 & Over,2021,Adelaida District,Toasted Slope,Syrah,$68.00,Silver
Alta Colina,CA,Syrah/Shiraz - $45.00 & Over,2021,Adelaida District,Old 900,Syrah,$68.00,Silver
Amador Cellars,CA,Teroldego,2020,Amador County,Breitmeyer Vineyard,Teroldego,$45.00,Double Gold
Amador Cellars,CA,Red Blend: Mourvedre leading blend,2019,Shenandoah Valley,,Cuvee des Sierras,$42.00,Gold
Amador Cellars,CA,Syrah/Shiraz - Up to - $34.99,2020,Amador County,,Syrah,$34.99,Gold
Amador Cellars,CA,Tempranillo - Up to - $39.99,2020,Amador County,,Tempranillo,$34.00,Gold
Amador Cellars,CA,Zinfandel - $29.00 - $34.99,2019,Amador County,,Zinfandel,$30.00,Gold
Amador Cellars,CA,Barbera - $35.00 and Over,2020,Shenandoah Valley,Fields Family Vineyard,Barbera,$35.00,Silver
Amador Cellars,CA,Dry Rose (Blend) - RS 0 - .099,2022,Amador County,,Rose,$24.00,Silver
Amador Cellars,CA,Red Blend: Petite Sirah leading blend,2021,Amador County,Family Reserve,Tutta la Famiglia,$65.00,Silver
Amador Cellars,CA,Red Blend: Zinfandel leading blend - $25.00 and Over,2020,Amador County,,Farmhouse Red,$26.00,Silver
Amaterra,OR,Pinot Noir - $60.00 - $69.99,2021,Yamhill-Carlton,Gregory Ranch Vineyard,Pinot Noir,$67.00,Double Gold
Amaterra,OR,Pinot Noir - $60.00 - $69.99,2021,Yamhill-Carlton,Hirschy Vineyard,Pinot Noir,$67.00,Double Gold
Amaterra,OR,Chardonnay - $36.00 - $39.99,2022,Willamette Valley,,Chardonnay,$38.00,Gold
Amaterra,OR,Pinot Noir - $47.00 - $49.99,2021,Willamette Valley,,Pinot Noir,$47.00,Silver
American Vintage,CA,Red Blend: Petite Sirah leading blend,2021,California,,Red Wine,$20.00,Gold
Ammons Horn,CA,Rose Sparkling (Pinot Noir Varietal),2019,Los Carneros,,Brut Rose,$42.00,Double Gold
Ammons Horn,CA,Pinot Noir - $60.00 - $69.99,2021,Los Carneros,Reserve,Pinot Noir,$62.00,Gold
Ammons Horn,CA,Pinot Noir - $40.00 - $46.99,2021,Los Carneros,Clone 667,Pinot Noir,$44.00,Silver
Ammons Horn,CA,Pinot Noir - $40.00 - $46.99,2021,Los Carneros,Clone 777,Pinot Noir,$44.00,Silver
Amok Cellars,CA,Dry Rose (one varietal ) - RS .1 - .299,2022,Templeton Gap District,,Rose,$38.00,Best of Class
Amok Cellars,CA,Roussanne,2021,Adelaida District,Golden Ticket,Roussanne,$38.00,Gold
Amok Cellars,CA,Red Blend: Syrah leading blend - $36.00 and Over,2021,Paso Robles,Mighty Mighty,Red Blend Syrah,$65.00,Silver
Amok Cellars,CA,Syrah/Shiraz - $45.00 & Over,2021,Paso Robles,,Syrah,$55.00,Silver
Amoritas Vineyards,MI,Pinot Blanc,2020,Leelanau Peninsula,,Pinot Blanc,$21.00,Best of Class
Amoritas Vineyards,MI,Muscat,2021,Leelanau Peninsula,,Fascinator,$20.00,Bronze
Amoritas Vineyards,MI,Brut,2022,Leelanau Peninsula,,Sparkling,$30.00,Double Gold
Amoritas Vineyards,MI,Riesling - Medium Dry 1.0 - 2.00 RS,2021,Leelanau Peninsula,,Riesling,$19.00,Silver
Amphora,CA,Cab Franc - $50.00 & Over,2019,Dry Creek Valley,,Cabernet Franc,$50.00,Gold
Amphora,CA,Red Blend: Grenache leading blend,2019,Sonoma County,,GSM,$44.00,Gold
Amphora,CA,Syrah/Shiraz - $45.00 & Over,2018,Sonoma County,,Syrah,$45.00,Gold
Amphora,CA,Grenache - $35.00 and Over,2019,Dry Creek Valley,,Grenache,$38.00,Silver
Amphora,CA,Petite Sirah - $39.00 - $46.99,2018,Dry Creek Valley,Bevill Wolcott Vineyard,Petite Sirah,$45.00,Silver
Amrita Cellars,CA,White Blends - $30.00 and Over,2021,Sonoma Coast,,Seiza,$40.00,Silver
Anaba Wines,CA,Grenache - $35.00 and Over,2021,Sonoma Coast,Flora Marie,Grenache,$56.00,Double Gold
Anaba Wines,CA,Viognier $30.00 & Over,2022,Sonoma Valley,,Viognier,$44.00,Double Gold
Anaba Wines,CA,Petite Sirah - $47.00 & Over,2021,Dry Creek Valley,Teldeschi Vineyard,Petite Sirah,$74.00,Gold
Anaba Wines,CA,White Blends - $30.00 and Over,2022,Sonoma Valley,,Turbine White Rhone Blend No.1,$38.00,Silver
Anam Cara Cellars,OR,Pinot Noir - $40.00 - $46.99,2022,Chehalem Mountains,Nicholas Estate,Pinot Noir,$44.00,Bronze
Anarchy Wine Company,CA,Mourvedre,2021,Paso Robles,,Mourvedre,$69.00,Bronze
Anarchy Wine Company,CA,Red Blend: Cab Sauv leading blend - $61.00 and Over,2021,Paso Robles,,Red Blend,$80.00,Silver
Anarchy Wine Company,CA,Red Blend: Zinfandel leading blend - $25.00 and Over,2021,Paso Robles,,Red Blend,$57.00,Silver
Anarchy Wine Company,CA,Red Blend: Zinfandel leading blend - $25.00 and Over,2021,Paso Robles,,Red Blend,$57.00,Silver
Anchor Valley,OR,Dry Rose (Blend) - RS 0 - .099,2022,Rogue Valley,,Rose,$27.00,Gold
Anchor Valley,OR,Pinot Noir - $29.00 - $34.99,2021,Rogue Valley,,Pinot Noir,$33.00,Silver
Anchor Valley,OR,White Blends - $22.00 - $29.99,2022,Rogue Valley,,White Blend,$25.00,Silver
Ancient Peaks Winery,CA,Cab Sauv - $70.00 - $79.99,2020,Santa Margarita Ranch,Pearl,Cabernet Sauvignon,$72.00,Best of Class
Ancient Peaks Winery,CA,Chardonnay - $18.00 - $22.99,2022,Santa Margarita Ranch,,Chardonnay,$20.00,Double Gold
Ancient Peaks Winery,CA,Red Blend: Cab Sauv leading blend - $48.00 - $60.99,2020,Santa Margarita Ranch,,Oyster Ridge,$60.00,Gold
Ancient Peaks Winery,CA,Red Blend: Syrah leading blend - Up to - $35.99,2021,Santa Margarita Ranch,,Renegade,$26.00,Gold
Ancient Peaks Winery,CA,Sauvignon Blanc/Fume - $17.00 - $21.99,2022,Paso Robles,,Sauvignon Blanc,$18.00,Gold
Ancient Peaks Winery,CA,Cab Sauv - $24.00 - $27.99,2021,Santa Margarita Ranch,,Cabernet Sauvignon,$25.00,Silver
Ancient Peaks Winery,CA,Merlot - Up to - $22.99,2021,Santa Margarita Ranch,,Merlot,$22.00,Silver
Ancient Peaks Winery,CA,Zinfandel - Up to - $22.99,2021,Santa Margarita Ranch,,Zinfandel,$22.00,Silver
Andante Vineyard,OR,Other White Varietals,2021,Willamette Valley,Van Duzer Corridor,Aligote,$35.00,Gold
Andante Vineyard,OR,Chardonnay - $46.00 & Over,2021,Willamette Valley,Van Duzer Corridor Reserve No. 2,Chardonnay,$50.00,Silver
